Observation,Self_employed,Employees,Tech_company,IT_role,Health_benefits,Age,Gender,Country_birth,Country_work,Work_remotely
1134,0,26-100,1,1,No,31,Male,Netherlands,Netherlands,Never
1135,0,26-100,1,1,Yes,39,M,United Kingdom,United Kingdom,Never
1136,0,More than 1000,1,1,Yes,41,male,United States of America,United States of America,Sometimes
1137,0,26-100,1,1,No,37,male,Estonia,Estonia,Never
1138,0,26-100,1,1,I don't know,30,male,Canada,United States of America,Always
1139,0,100-500,1,1,Yes,24,Male,Canada,Canada,Sometimes
1140,0,100-500,1,1,Not eligible for coverage / N/A,22,female,Canada,Canada,Sometimes
1141,0,100-500,1,1,Yes,24,Male,Canada,Canada,Sometimes
1142,0,100-500,1,1,I don't know,26,Female,Canada,Canada,Sometimes
1143,0,500-1000,1,1,Yes,38,female,United States of America,United States of America,Always
1144,0,100-500,1,1,Yes,52,Male,United States of America,United States of America,Sometimes
1145,0,100-500,0,0,I don't know,30,Female,United States of America,United States of America,Sometimes
1146,0,100-500,1,1,Yes,25,m,Canada,Canada,Sometimes
